2022-02-22 10:06:33,125 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:37)     - 이 해의 년도: 2022
2022-02-22 10:06:33,127 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:38)     - 월(0~11)월: 9
2022-02-22 10:06:45,637 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:37)     - 이 해의 년도: 2022
2022-02-22 10:06:45,639 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:38)     - 월(0~11)월: 2
2022-02-22 10:08:13,350 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:40)     - 이 해의 년도: 2022
2022-02-22 10:08:13,352 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:41)     - 월(0~11)월: 2
2022-02-22 10:08:13,352 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:42)     - 일: 22
2022-02-22 10:08:26,096 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:40)     - 이 해의 년도: 2022
2022-02-22 10:08:26,097 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:41)     - 월(0~11): 2
2022-02-22 10:08:26,097 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:42)     - 일: 22
2022-02-22 10:09:10,796 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:40)     - 이 해의 년도: 2022
2022-02-22 10:09:10,798 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:41)     - 월(0~11): 2
2022-02-22 10:09:10,798 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:42)     - 일: 22
2022-02-22 10:09:10,798 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:44)     - =================================
2022-02-22 10:09:10,798 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:45)     - 2022년2월22일
2022-02-22 10:12:35,547 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:40)     - 이 해의 년도: 2022
2022-02-22 10:12:35,551 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:41)     - 월(0~11): 2
2022-02-22 10:12:35,551 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:42)     - 일: 22
2022-02-22 10:12:35,551 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:44)     - =================================
2022-02-22 10:12:35,551 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:45)     - 2022년2월22일
2022-02-22 10:12:35,551 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:49)     - 요일: 1(일요일)~7(토요일):3
2022-02-22 10:14:33,950 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:40)     - 이 해의 년도: 2022
2022-02-22 10:14:33,952 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:41)     - 월(0~11): 2
2022-02-22 10:14:33,952 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:42)     - 일: 22
2022-02-22 10:14:33,952 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:44)     - =================================
2022-02-22 10:14:33,952 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:45)     - 2022년2월22일
2022-02-22 10:14:33,952 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:49)     - 요일: 1(일요일)~7(토요일):3
2022-02-22 10:14:33,952 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:53)     - 0
2022-02-22 10:15:00,427 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:40)     - 이 해의 년도: 2022
2022-02-22 10:15:00,429 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:41)     - 월(0~11): 2
2022-02-22 10:15:00,429 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:42)     - 일: 22
2022-02-22 10:15:00,429 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:44)     - =================================
2022-02-22 10:15:00,429 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:45)     - 2022년2월22일
2022-02-22 10:15:00,429 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:49)     - 요일: 1(일요일)~7(토요일):3
2022-02-22 10:15:00,429 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:53)     - (오전:0, 오후:1)0
2022-02-22 10:17:29,311 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:40)     - 이 해의 년도: 2022
2022-02-22 10:17:29,313 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:41)     - 월(0~11): 2
2022-02-22 10:17:29,313 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:42)     - 일: 22
2022-02-22 10:17:29,313 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:44)     - =================================
2022-02-22 10:17:29,313 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:45)     - 2022년2월22일
2022-02-22 10:17:29,313 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:49)     - 요일: 1(일요일)~7(토요일):3
2022-02-22 10:17:29,313 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:53)     - (오전:0, 오후:1)0
2022-02-22 10:17:29,313 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:56)     - 시간(0~11): 10
2022-02-22 10:18:09,745 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:40)     - 이 해의 년도: 2022
2022-02-22 10:18:09,746 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:41)     - 월(0~11): 2
2022-02-22 10:18:09,746 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:42)     - 일: 22
2022-02-22 10:18:09,746 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:44)     - =================================
2022-02-22 10:18:09,746 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:45)     - 2022년2월22일
2022-02-22 10:18:09,747 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:49)     - 요일: 1(일요일)~7(토요일):3
2022-02-22 10:18:09,747 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:53)     - (오전:0, 오후:1)0
2022-02-22 10:18:09,747 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:56)     - 시간(0~11): 10
2022-02-22 10:18:09,748 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:58)     - 시간(0~11): 10
2022-02-22 10:19:08,954 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:40)     - 이 해의 년도: 2022
2022-02-22 10:19:08,956 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:41)     - 월(0~11): 2
2022-02-22 10:19:08,956 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:42)     - 일: 22
2022-02-22 10:19:08,956 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:44)     - =================================
2022-02-22 10:19:08,956 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:45)     - 2022년2월22일
2022-02-22 10:19:08,956 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:49)     - 요일: 1(일요일)~7(토요일):3
2022-02-22 10:19:08,956 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:53)     - (오전:0, 오후:1)0
2022-02-22 10:19:08,956 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:56)     - 시간(0~11): 10
2022-02-22 10:19:08,957 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:58)     - 시간(0~23): 10
2022-02-22 10:19:08,958 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:61)     - 분: 19
2022-02-22 10:21:35,522 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:40)     - 이 해의 년도: 2022
2022-02-22 10:21:35,523 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:41)     - 월(0~11): 2
2022-02-22 10:21:35,523 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:42)     - 일: 22
2022-02-22 10:21:35,523 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:44)     - =================================
